Spieler,datum_transfer,Restvertrag.in.Monaten...12,abloese,marktwert_zeitpunkt,factor,year
Stewart Downing,2015-07-16,"1,92",7900000,6000000,0.759493670886076,2015
Rafael van der Vaart,2012-08-31,"1,75",13000000,24500000,1.8846153846153846,2012
Carlos Tevez,2017-01-01,"1,42",10500000,8500000,0.8095238095238095,2017
Jérémy Toulalan,2011-07-01,"1,92",11000000,18000000,1.6363636363636365,2011
Alberto Gilardino,2014-07-12,"1,92",5500000,5000000,0.9090909090909091,2014
Xabi Alonso,2014-08-29,"1,83",9000000,8000000,0.8888888888888888,2014
Jonathan Soriano,2017-02-26,"1,33",15000000,6000000,0.4,2017
Cesc Fàbregas,2014-07-01,"1,92",33000000,50000000,1.5151515151515151,2014
Rui Fonte,2017-08-17,"1,83",6872000,3000000,0.43655413271245636,2017
Luiz Gustavo,2019-09-02,"1,75",6000000,10000000,1.6666666666666667,2019
Ramiro Funes Mori,2015-09-01,"1,75",12900000,6000000,0.46511627906976744,2015
Ramiro Funes Mori,2018-07-01,"1,92",9000000,10000000,1.1111111111111112,2018
Éver Banega,2017-07-03,"1,92",7000000,16000000,2.2857142857142856,2017
Bruno Alves,2013-07-01,"1,92",5500000,6500000,1.1818181818181819,2013
Tom Huddlestone,2013-08-14,"1,83",5800000,4500000,0.7758620689655172,2013
Robinho,2010-08-31,"1,75",21000000,28000000,1.3333333333333333,2010
Ryan Babel,2011-01-25,"1,42",7000000,6500000,0.9285714285714286,2011
Kevin-Prince Boateng,2013-08-30,"1,83",10000000,15000000,1.5,2013
Álvaro Negredo,2015-07-01,"1,92",28000000,22000000,0.7857142857142857,2015
Gökhan Inler,2011-07-11,"1,92",18000000,15000000,0.8333333333333334,2011
Raffael,2012-07-27,"1,92",9000000,7500000,0.8333333333333334,2012
Javier Mascherano,2010-08-28,"1,83",20000000,26000000,1.3,2010
Javier Mascherano,2018-01-26,"1,42",5500000,6000000,1.0909090909090908,2018
Matías Silvestre,2013-07-01,"1,92",6000000,6000000,1,2013
José Sosa,2016-08-17,"1,83",7500000,8000000,1.0666666666666667,2016
Arda Turan,2015-07-06,"1,92",34000000,35000000,1.0294117647058822,2015
Filipe Luís,2015-07-28,"1,92",16000000,15000000,0.9375,2015
Bafétimbi Gomis,2018-08-23,"1,83",6000000,4500000,0.75,2018
Robert Snodgrass,2017-01-27,"1,42",12000000,5000000,0.4166666666666667,2017
Martin Skrtel,2016-07-15,"1,92",6000000,10000000,1.6666666666666667,2016
Jérôme Boateng,2010-07-01,"1,92",12500000,15000000,1.2,2010
Kévin Gameiro,2013-07-25,"1,92",7500000,10000000,1.3333333333333333,2013
Kévin Gameiro,2018-08-12,"1,83",16000000,20000000,1.25,2018
Clint Dempsey,2013-08-03,"1,83",6800000,10000000,1.4705882352941178,2013
Max Gradel,2015-08-04,"1,83",10000000,6500000,0.65,2015
José Manuel Jurado,2015-07-22,"1,92",8600000,7000000,0.813953488372093,2015
Edin Dzeko,2016-07-01,"1,92",11000000,18000000,1.6363636363636365,2016
Christopher Samba,2013-01-31,"1,83",15000000,15000000,1,2013
João Moutinho,2013-07-01,"1,92",25000000,30000000,1.2,2013
João Moutinho,2018-07-24,"1,92",5600000,10000000,1.7857142857142858,2018
Yohan Cabaye,2015-07-01,"1,92",13900000,16000000,1.1510791366906474,2015
Vurnon Anita,2012-08-16,"1,83",8500000,6000000,0.7058823529411765,2012
Chu-young Park,2011-08-30,"1,83",6500000,7000000,1.0769230769230769,2011
Jonathan de Guzmán,2014-08-20,"1,83",6000000,10000000,1.6666666666666667,2014
Gervinho,2016-01-26,"1,42",18000000,15000000,0.8333333333333334,2016
Kevin Mirallas,2012-08-19,"1,83",7650000,6500000,0.8496732026143791,2012
Nani,2016-07-05,"1,92",8500000,14500000,1.7058823529411764,2016
Theo Walcott,2018-01-17,"1,42",22500000,20000000,0.8888888888888888,2018
José Fonte,2017-01-20,"1,42",9200000,6000000,0.6521739130434783,2017
José Fonte,2018-02-23,"1,33",5572000,5000000,0.8973438621679828,2018
Asmir Begovic,2017-07-01,"1,92",11500000,8000000,0.6956521739130435,2017
Blaise Matuidi,2011-07-25,"1,92",8000000,8000000,1,2011
Adriano,2010-07-14,"1,92",9500000,20000000,2.1052631578947367,2010
Konstantinos Mitroglou,2016-07-01,"1,92",7000000,9500000,1.3571428571428572,2016
Axel Witsel,2018-08-06,"1,33",20000000,20000000,1,2018
Lewis Grabban,2016-01-11,"1,42",9350000,3000000,0.32085561497326204,2016
Fernando Llorente,2016-08-05,"1,83",5900000,6000000,1.0169491525423728,2016
Dusan Tadic,2018-07-03,"1,92",13700000,15000000,1.094890510948905,2018
Max Kruse,2015-07-01,"1,92",12000000,12000000,1,2015
Nikola Kalinic,2011-08-12,"1,83",6000000,4500000,0.75,2011
Dimitri Payet,2013-07-01,"1,92",8700000,15000000,1.7241379310344827,2013
Dimitri Payet,2015-07-01,"1,92",15000000,13000000,0.8666666666666667,2015
